learning_rate,max_depth,n_estimators,num_leaves,mean_f1,std_f1
0.01,-1,100,31,0.8247444218861512,0.0036148542848067873
0.01,-1,100,63,0.8281602001243963,0.005519175880332484
0.01,-1,200,31,0.839015545656739,0.003041985393970744
0.01,-1,200,63,0.838279564573515,0.0055055808895227475
0.01,10,100,31,0.8258262045971152,0.005222399876261293
0.01,10,100,63,0.8331929553751098,0.003435784585867584
0.01,10,200,31,0.838517989008546,0.004382171049037295
0.01,10,200,63,0.8414137304713067,0.004133258595753383
0.1,-1,100,31,0.6204146329046123,0.009370562987898061
0.1,-1,100,63,0.6329788925544862,0.02219033884308978
0.1,-1,200,31,0.6168267751830838,0.017262582911186614
0.1,-1,200,63,0.5602772845067425,0.055143880938715424
0.1,10,100,31,0.6435773923253676,0.022167154437549692
0.1,10,100,63,0.6164268535486511,0.01998575434421005
0.1,10,200,31,0.5523284620113345,0.11255570191004599
0.1,10,200,63,0.48780143182601077,0.08313904985347056
